node_name,event_type
Node1,Speciation
InternalNode_2,Speciation
InternalNode_3,Duplication
InternalNode_4,Duplication
InternalNode_5,Speciation
InternalNode_6,Duplication
InternalNode_7,Duplication
Node4169,Speciation
Node4170,Speciation
Node4171,Speciation
Node4172,Speciation
Node4173,Speciation
Node4174,Duplication
Node4175,Duplication
Node4176,Duplication
Node4661,Speciation
Node4662,Speciation
Node4663,Speciation
Node4664,Speciation
Node4665,Speciation
Node4666,Duplication
Node4667,Speciation
Node4668,Speciation
Node4669,Speciation
Node4670,Speciation
Node4671,Speciation
Node4672,Speciation
Node4673,Speciation
Node4674,Speciation
Node4675,Speciation
Node4676,Speciation
Node4677,Speciation
Node4678,Speciation
Node4679,Speciation
Node4726,Speciation
Node4727,Speciation
Node4728,Speciation
Node4729,Speciation
Node4730,Speciation
Node4731,Speciation
Node4732,Speciation
Node4733,Speciation
Node4734,Speciation
Node4735,Speciation
Node4736,Speciation
Node4737,Speciation
Node4738,Speciation
Node4739,Speciation
Node4740,Speciation
Node4741,Speciation
Node4742,Speciation
Node4748,Speciation
Node4749,Speciation
Node4750,Speciation
Node4751,Speciation
Node4754,Speciation
Node4752,Speciation
Node4753,Speciation
Node4743,Speciation
Node4746,Speciation
Node4747,Speciation
Node4744,Speciation
Node4745,Speciation
Node4755,Speciation
Node4756,Speciation
Node4757,Speciation
Node4758,Speciation
Node4759,Speciation
Node4760,Speciation
Node4761,Speciation
Node4762,Speciation
Node4763,Speciation
Node4764,Speciation
Node4765,Speciation
Node4772,Speciation
Node4775,Speciation
Node4777,Speciation
Node4778,Speciation
Node4776,Speciation
Node4773,Speciation
Node4774,Speciation
Node4766,Speciation
Node4767,Speciation
Node4770,Speciation
Node4768,Speciation
Node4769,Speciation
Node4771,Speciation
Node4779,Speciation
Node4780,Speciation
Node4781,Speciation
Node4782,Speciation
Node4784,Speciation
Node4783,Speciation
Node4785,Speciation
Node4786,Speciation
Node4788,Speciation
Node4787,Speciation
Node4789,Speciation
Node4836,Speciation
Node4837,Speciation
Node4838,Speciation
Node4839,Speciation
Node4840,Speciation
Node4841,Speciation
Node4790,Speciation
Node4835,Speciation
Node4791,Speciation
Node4792,Speciation
Node4812,Speciation
Node4813,Speciation
Node4814,Speciation
Node4815,Speciation
Node4816,Speciation
Node4817,Speciation
Node4818,Speciation
Node4819,Speciation
Node4793,Speciation
Node4811,Speciation
Node4794,Speciation
Node4795,Speciation
Node4796,Speciation
Node4797,Speciation
Node4798,Speciation
Node4802,Speciation
Node4803,Speciation
Node4799,Speciation
Node4800,Speciation
Node4801,Speciation
Node4804,Speciation
Node4805,Speciation
Node4806,Speciation
Node4808,Speciation
Node4809,Speciation
Node4810,Speciation
Node4807,Speciation
Node4820,Speciation
Node4833,Speciation
Node4834,Speciation
Node4821,Speciation
Node4823,Speciation
Node4824,Speciation
Node4832,Speciation
Node4825,Speciation
Node4826,Speciation
Node4827,Speciation
Node4828,Speciation
Node4829,Speciation
Node4830,Speciation
Node4831,Speciation
Node4822,Speciation
Node4842,Speciation
Node4845,Speciation
Node4843,Speciation
Node4844,Speciation
Node4846,Speciation
Node4847,Speciation
Node4848,Speciation
Node4849,Speciation
Node4850,Speciation
Node4851,Speciation
Node4852,Speciation
Node4853,Speciation
Node4854,Speciation
Node4680,Speciation
Node4681,Speciation
Node4725,Speciation
Node4682,Speciation
Node4724,Speciation
Node4683,Speciation
Node4684,Speciation
Node4686,Speciation
Node4687,Speciation
Node4688,Speciation
Node4702,Speciation
Node4689,Speciation
Node4690,Speciation
Node4691,Speciation
Node4692,Speciation
Node4693,Speciation
Node4694,Speciation
Node4695,Speciation
Node4696,Speciation
Node4697,Speciation
Node4698,Speciation
Node4701,Speciation
Node4699,Speciation
Node4700,Speciation
Node4703,Speciation
Node4704,Speciation
Node4705,Speciation
Node4706,Duplication
Node4707,Speciation
Node4708,Speciation
Node4685,Speciation
Node4709,Speciation
Node4710,Speciation
Node4711,Speciation
Node4712,Speciation
Node4721,Speciation
Node4713,Speciation
Node4714,Speciation
Node4715,Speciation
Node4719,Speciation
Node4720,Speciation
Node4716,Speciation
Node4717,Speciation
Node4718,Speciation
Node4722,Speciation
Node4723,Speciation
Node4855,Speciation
Node4856,Speciation
Node4857,Speciation
Node4858,Speciation
Node4859,Speciation
Node4861,Speciation
Node4860,Speciation
Node4862,Speciation
Node4863,Speciation
Node4864,Speciation
Node4865,Speciation
Node4866,Speciation
Node4867,Speciation
Node4868,Speciation
Node4870,Speciation
Node4869,Speciation
Node4871,Speciation
Node4874,Speciation
Node4872,Speciation
Node4873,Speciation
Node4875,Speciation
Node4876,Speciation
Node4877,Speciation
Node4878,Speciation
Node4879,Speciation
Node4880,Speciation
Node4885,Speciation
Node4881,Speciation
Node4884,Speciation
Node4882,Speciation
Node4883,Speciation
Node4886,Speciation
Node4887,Speciation
Node4888,Speciation
Node5026,Speciation
Node5084,Speciation
Node5085,Speciation
Node5086,Speciation
Node5087,Speciation
Node5088,Speciation
Node5089,Speciation
Node5090,Speciation
Node5027,Speciation
Node5028,Speciation
Node5044,Speciation
Node5054,Speciation
Node5055,Speciation
Node5056,Speciation
Node5057,Speciation
Node5058,Speciation
Node5059,Speciation
Node5060,Speciation
Node5045,Speciation
Node5052,Duplication
Node5053,Speciation
Node5046,Speciation
Node5047,Speciation
Node5050,Speciation
Node5048,Speciation
Node5049,Speciation
Node5051,Speciation
Node5029,Speciation
Node5036,Speciation
Node5037,Speciation
Node5039,Speciation
Node5040,Speciation
Node5038,Speciation
Node5041,Speciation
Node5042,Speciation
Node5043,Speciation
Node5030,Speciation
Node5031,Speciation
Node5032,Speciation
Node5033,Speciation
Node5034,Speciation
Node5035,Speciation
Node5061,Speciation
Node5062,Speciation
Node5063,Speciation
Node5064,Speciation
Node5065,Speciation
Node5066,Speciation
Node5080,Speciation
Node5082,Speciation
Node5083,Speciation
Node5081,Speciation
Node5067,Speciation
Node5068,Speciation
Node5069,Speciation
Node5078,Speciation
Node5070,Speciation
Node5071,Speciation
Node5072,Speciation
Node5073,Speciation
Node5074,Speciation
Node5075,Speciation
Node5076,Speciation
Node5077,Speciation
