clade_id,member_count,lca_node,lca_node_asr
1,8,InternalNode_20,Node1348
2,6,InternalNode_27,Node1355
4,5,InternalNode_33,Node1361
5,20,InternalNode_37,Node1326
6,52,InternalNode_56,Node1365
7,8,InternalNode_107,Node1416
8,7,InternalNode_114,Node1423
9,154,InternalNode_120,Node1169
10,232,InternalNode_274,Node937
11,126,InternalNode_506,Node812
12,157,InternalNode_632,Node656
13,640,InternalNode_788,Node17
14,168,InternalNode_1427,Node1
15,5,InternalNode_1594,Node5764
16,21,InternalNode_1598,Node5744
17,12,InternalNode_1618,Node5733
18,13,InternalNode_1629,Node5721
21,624,InternalNode_1644,Node5095
22,301,InternalNode_2267,Node4795
25,81,InternalNode_2581,Node2227
26,10,InternalNode_2662,Node2218
27,358,InternalNode_2672,Node1861
29,413,InternalNode_3031,Node1448
30,89,InternalNode_3443,Node2307
31,243,InternalNode_3531,Node2395
32,23,InternalNode_3775,Node4521
33,495,InternalNode_3801,Node3633
34,388,InternalNode_4296,Node2647
35,600,InternalNode_4683,Node3034
36,30,InternalNode_5282,Node4127
37,340,InternalNode_5311,Node4156
38,27,InternalNode_5650,Node4495
40,26,InternalNode_5677,Node4547
41,224,InternalNode_5702,Node4572
