level,cluster_id,member_count,lca_node
family,1,8,InternalNode_20
family,2,6,InternalNode_27
family,4,5,InternalNode_33
family,5,20,InternalNode_37
family,6,52,InternalNode_56
family,7,8,InternalNode_107
family,8,7,InternalNode_114
family,9,154,InternalNode_120
family,10,232,InternalNode_274
family,11,126,InternalNode_506
family,12,157,InternalNode_632
family,13,640,InternalNode_788
family,14,168,InternalNode_1427
family,15,5,InternalNode_1594
family,16,21,InternalNode_1598
family,17,12,InternalNode_1618
family,18,13,InternalNode_1629
family,21,624,InternalNode_1644
family,22,301,InternalNode_2267
family,25,81,InternalNode_2581
family,26,10,InternalNode_2662
family,27,358,InternalNode_2672
family,29,413,InternalNode_3031
family,30,89,InternalNode_3443
family,31,243,InternalNode_3531
family,32,23,InternalNode_3775
family,33,495,InternalNode_3801
family,34,388,InternalNode_4296
family,35,600,InternalNode_4683
family,36,30,InternalNode_5282
family,37,340,InternalNode_5311
family,38,27,InternalNode_5650
family,40,26,InternalNode_5677
family,41,224,InternalNode_5702
