level,cluster_id,member_count,lca_node
subfamily,4,6,InternalNode_27
subfamily,6,5,InternalNode_33
subfamily,7,20,InternalNode_37
subfamily,8,42,InternalNode_58
subfamily,10,9,InternalNode_99
subfamily,11,8,InternalNode_107
subfamily,12,7,InternalNode_114
subfamily,13,16,InternalNode_122
subfamily,14,59,InternalNode_137
subfamily,15,10,InternalNode_198
subfamily,18,59,InternalNode_213
subfamily,21,50,InternalNode_277
subfamily,23,6,InternalNode_327
subfamily,24,173,InternalNode_333
subfamily,26,25,InternalNode_507
subfamily,28,18,InternalNode_536
subfamily,29,10,InternalNode_554
subfamily,32,61,InternalNode_571
subfamily,33,84,InternalNode_635
subfamily,34,22,InternalNode_718
subfamily,35,8,InternalNode_741
subfamily,38,5,InternalNode_751
subfamily,39,28,InternalNode_756
subfamily,40,6,InternalNode_783
subfamily,41,13,InternalNode_795
subfamily,42,26,InternalNode_808
subfamily,43,8,InternalNode_834
subfamily,45,41,InternalNode_845
subfamily,46,21,InternalNode_887
subfamily,47,130,InternalNode_907
subfamily,48,44,InternalNode_1036
subfamily,49,31,InternalNode_1082
subfamily,51,6,InternalNode_1112
subfamily,52,12,InternalNode_1117
subfamily,53,6,InternalNode_1128
subfamily,54,34,InternalNode_1133
subfamily,55,17,InternalNode_1166
subfamily,56,5,InternalNode_1182
subfamily,57,9,InternalNode_1188
subfamily,58,231,InternalNode_1197
subfamily,62,6,InternalNode_1433
subfamily,63,82,InternalNode_1438
subfamily,65,50,InternalNode_1522
subfamily,66,8,InternalNode_1573
subfamily,67,6,InternalNode_1580
subfamily,68,10,InternalNode_1585
subfamily,69,5,InternalNode_1594
subfamily,70,21,InternalNode_1598
subfamily,71,12,InternalNode_1618
subfamily,72,13,InternalNode_1629
subfamily,75,67,InternalNode_1653
subfamily,76,55,InternalNode_1719
subfamily,79,33,InternalNode_1776
subfamily,80,34,InternalNode_1808
subfamily,81,67,InternalNode_1841
subfamily,82,14,InternalNode_1907
subfamily,83,13,InternalNode_1922
subfamily,85,12,InternalNode_1941
subfamily,86,77,InternalNode_1954
subfamily,89,135,InternalNode_2033
subfamily,90,14,InternalNode_2167
subfamily,91,43,InternalNode_2180
subfamily,92,46,InternalNode_2222
subfamily,95,21,InternalNode_2273
subfamily,97,80,InternalNode_2294
subfamily,98,115,InternalNode_2375
subfamily,99,31,InternalNode_2489
subfamily,100,49,InternalNode_2519
subfamily,103,81,InternalNode_2581
subfamily,104,10,InternalNode_2662
subfamily,105,183,InternalNode_2674
subfamily,107,37,InternalNode_2857
subfamily,108,50,InternalNode_2894
subfamily,109,84,InternalNode_2944
subfamily,112,38,InternalNode_3035
subfamily,113,78,InternalNode_3073
subfamily,114,136,InternalNode_3151
subfamily,115,15,InternalNode_3286
subfamily,118,21,InternalNode_3302
subfamily,120,31,InternalNode_3328
subfamily,121,6,InternalNode_3359
subfamily,122,24,InternalNode_3364
subfamily,126,14,InternalNode_3395
subfamily,127,36,InternalNode_3408
subfamily,128,32,InternalNode_3449
subfamily,129,8,InternalNode_3480
subfamily,133,9,InternalNode_3487
subfamily,134,37,InternalNode_3495
subfamily,135,240,InternalNode_3533
subfamily,138,23,InternalNode_3775
subfamily,139,5,InternalNode_3803
subfamily,140,28,InternalNode_3808
subfamily,141,32,InternalNode_3838
subfamily,142,58,InternalNode_3871
subfamily,143,25,InternalNode_3928
subfamily,145,21,InternalNode_3955
subfamily,146,51,InternalNode_3975
subfamily,147,23,InternalNode_4028
subfamily,148,111,InternalNode_4052
subfamily,149,36,InternalNode_4162
subfamily,150,10,InternalNode_4197
subfamily,151,89,InternalNode_4206
subfamily,153,144,InternalNode_4297
subfamily,154,199,InternalNode_4442
subfamily,156,44,InternalNode_4640
subfamily,157,240,InternalNode_4684
subfamily,159,10,InternalNode_4926
subfamily,161,15,InternalNode_4941
subfamily,162,18,InternalNode_4960
subfamily,163,9,InternalNode_4978
subfamily,166,213,InternalNode_4995
subfamily,167,25,InternalNode_5207
subfamily,169,7,InternalNode_5231
subfamily,170,45,InternalNode_5237
subfamily,173,30,InternalNode_5282
subfamily,174,340,InternalNode_5311
subfamily,175,27,InternalNode_5650
subfamily,177,26,InternalNode_5677
subfamily,178,24,InternalNode_5703
subfamily,179,84,InternalNode_5734
subfamily,180,39,InternalNode_5817
subfamily,181,27,InternalNode_5855
subfamily,182,25,InternalNode_5881
subfamily,183,5,InternalNode_5908
subfamily,184,5,InternalNode_5912
subfamily,185,8,InternalNode_5916
