Sequence_ID,Functional_Clade_ID
tr|A0A7S8E8T4|A0A7S8E8T4_9CHLR_21_62,BADASP_Clade_1
tr|A0A062UG90|A0A062UG90_9PROT_7_48,BADASP_Clade_1
tr|A0A1G9MXZ9|A0A1G9MXZ9_9PROT_5_46,BADASP_Clade_1
tr|A0ABU7LS18|A0ABU7LS18_9PROT_3_44,BADASP_Clade_1
tr|F4QML4|F4QML4_9CAUL_5_46,BADASP_Clade_1
tr|A0A059FPM4|A0A059FPM4_9PROT_5_46,BADASP_Clade_1
tr|A0A348HGQ0|A0A348HGQ0_9GAMM_1_42,BADASP_Clade_1
tr|A0A0P0Z2P3|A0A0P0Z2P3_9HYPH_17_58,BADASP_Clade_1
tr|A0A3M0CEH0|A0A3M0CEH0_9PROT_1_42,BADASP_Clade_1
tr|A0A382QPI7|A0A382QPI7_9ZZZZ_1_42,BADASP_Clade_1
tr|A0A5M6ZLJ7|A0A5M6ZLJ7_9PROT_1_42,BADASP_Clade_1
tr|A0A382RH20|A0A382RH20_9ZZZZ_1_42,BADASP_Clade_1
tr|A0A381Y585|A0A381Y585_9ZZZZ_1_42,BADASP_Clade_1
tr|A0A1H6LUA7|A0A1H6LUA7_9RHOB_21_61,BADASP_Clade_1
tr|A0A0N9WA46|A0A0N9WA46_PSEFL_14_55,BADASP_Clade_1
tr|A0ABT7F3Q3|A0ABT7F3Q3_9RHOB_10_51,BADASP_Clade_1
tr|A0A7L9WJ93|A0A7L9WJ93_9RHOB_3_44,BADASP_Clade_1
tr|A0A1G9LA65|A0A1G9LA65_9RHOB_6_47,BADASP_Clade_1
tr|A0A285SN79|A0A285SN79_9RHOB_4_45,BADASP_Clade_1
tr|A0A3N2R6I4|A0A3N2R6I4_9RHOB_3_42,BADASP_Clade_1
tr|A0A318T8P6|A0A318T8P6_9BRAD_24_65,BADASP_Clade_1
tr|A0ABV3Z6R2|A0ABV3Z6R2_9PROT_11_52,BADASP_Clade_1
tr|A0ABT5TB60|A0ABT5TB60_9RHOB_17_58,BADASP_Clade_1
tr|A0A829Y9M2|A0A829Y9M2_9GAMM_8_49,BADASP_Clade_1
tr|A0AAN4PZJ3|A0AAN4PZJ3_PSESF_41_82,BADASP_Clade_1
tr|A0A0H2MRQ9|A0A0H2MRQ9_9PROT_4_45,BADASP_Clade_1
tr|A0A6M2BM64|A0A6M2BM64_9GAMM_3_44,BADASP_Clade_1
tr|A0A1N7IVB8|A0A1N7IVB8_9GAMM_6_47,BADASP_Clade_1
tr|A0A2A4Z9P8|A0A2A4Z9P8_9PROT_2_43,BADASP_Clade_1
tr|A0ABU9G332|A0ABU9G332_9GAMM_25_66,BADASP_Clade_1
tr|A0A3B0RWS5|A0A3B0RWS5_9ZZZZ_4_45,BADASP_Clade_1
tr|A0A3M5U0T0|A0A3M5U0T0_9PSED_20_61,BADASP_Clade_1
tr|A0ABT2YRL8|A0ABT2YRL8_9GAMM_5_46,BADASP_Clade_1
tr|A0A4Z0LXN3|A0A4Z0LXN3_9GAMM_12_53,BADASP_Clade_1
tr|A0ABP9WMU6|A0ABP9WMU6_9GAMM_5_46,BADASP_Clade_1
tr|A0A0H3ALD5|A0A0H3ALD5_VIBC3_29_70,BADASP_Clade_1
tr|A0ABV0BG84|A0ABV0BG84_9HYPH_1_42,BADASP_Clade_1
tr|A0A0F5JXG7|A0A0F5JXG7_9BURK_3_44,BADASP_Clade_1
tr|A0ABU3Q4Y4|A0ABU3Q4Y4_9SPHN_5_46,BADASP_Clade_1
tr|A0ABU9GPJ1|A0ABU9GPJ1_9GAMM_3_44,BADASP_Clade_1
tr|A0A940MUN3|A0A940MUN3_9PROT_29_70,BADASP_Clade_1
tr|A0ABU5EA59|A0ABU5EA59_9PROT_7_48,BADASP_Clade_1
tr|A0A1Y2L0P3|A0A1Y2L0P3_9PROT_6_47,BADASP_Clade_1
tr|A0ABV8RDK6|A0ABV8RDK6_9SPHN_15_56,BADASP_Clade_1
tr|A0A381T540|A0A381T540_9ZZZZ_5_46,BADASP_Clade_1
tr|A0ABP4A3F8|A0ABP4A3F8_9ACTN_9_40,BADASP_Clade_1
tr|A0A1H0NQZ7|A0A1H0NQZ7_9RHOB_11_51,BADASP_Clade_1
tr|A0A7W8ECL2|A0A7W8ECL2_9BACT_5_46,BADASP_Clade_1
tr|A0ABU5E9U1|A0ABU5E9U1_9PROT_3_44,BADASP_Clade_1
tr|A0ABY5HNI5|A0ABY5HNI5_9GAMM_6_47,BADASP_Clade_1
tr|A0A1R4EGN9|A0A1R4EGN9_9GAMM_18_59,BADASP_Clade_1
tr|A0A7Z0BSD8|A0A7Z0BSD8_9SPHN_1_42,BADASP_Clade_1
tr|A0ABW5DWY2|A0ABW5DWY2_9PROT_6_47,BADASP_Clade_1
tr|A0ABT2K4Y2|A0ABT2K4Y2_9RHOB_11_52,BADASP_Clade_1
tr|A0A172YHW8|A0A172YHW8_9GAMM_10_50,BADASP_Clade_1
tr|A0A0R3L2V4|A0A0R3L2V4_9BRAD_5_46,BADASP_Clade_1
tr|A0A7X0DN03|A0A7X0DN03_NOVIT_16_57,BADASP_Clade_1
tr|A0ABX4HE94|A0ABX4HE94_9GAMM_16_57,BADASP_Clade_1
tr|A0A286H0C4|A0A286H0C4_9PROT_9_50,BADASP_Clade_1
tr|A0A3P3VPY0|A0A3P3VPY0_9GAMM_7_48,BADASP_Clade_1
tr|A0A1I1DTN0|A0A1I1DTN0_9GAMM_7_48,BADASP_Clade_1
tr|A0A285UVI8|A0A285UVI8_9HYPH_29_70,BADASP_Clade_1
tr|A0A3N9TC18|A0A3N9TC18_9VIBR_5_46,BADASP_Clade_1
tr|D4XKR8|D4XKR8_ACIHA_26_67,BADASP_Clade_1
tr|A0A1G6M6E8|A0A1G6M6E8_9GAMM_5_46,BADASP_Clade_1
tr|A0A506V4K7|A0A506V4K7_9GAMM_4_45,BADASP_Clade_1
tr|A0A4V2PNJ1|A0A4V2PNJ1_9GAMM_4_45,BADASP_Clade_1
tr|A0A1N7KZA8|A0A1N7KZA8_9PROT_6_47,BADASP_Clade_1
tr|A0A318H3M5|A0A318H3M5_9BURK_22_63,BADASP_Clade_1
tr|A0A2U1V123|A0A2U1V123_9PROT_16_57,BADASP_Clade_1
tr|B0VUA8|B0VUA8_ACIBS_10_51,BADASP_Clade_1
tr|A0A171KQZ6|A0A171KQZ6_9BURK_1_42,BADASP_Clade_1
tr|A0A1P8K9F0|A0A1P8K9F0_9BURK_11_52,BADASP_Clade_1
tr|A0A418XRB2|A0A418XRB2_9BURK_9_50,BADASP_Clade_1
tr|A0A369XQ85|A0A369XQ85_9PROT_6_47,BADASP_Clade_1
tr|A0A494YDT8|A0A494YDT8_9BURK_9_50,BADASP_Clade_1
tr|X7F981|X7F981_9RHOB_29_70,BADASP_Clade_1
tr|A0A1Y5SUR4|A0A1Y5SUR4_9RHOB_1_39,BADASP_Clade_1
tr|A0A2Z2NRH3|A0A2Z2NRH3_9GAMM_1_42,BADASP_Clade_1
tr|A0A2S8SD68|A0A2S8SD68_9RHOB_23_64,BADASP_Clade_1
tr|A0ABU5EB04|A0ABU5EB04_9PROT_25_66,BADASP_Clade_1
tr|A0A2Z6DXK5|A0A2Z6DXK5_HYDTE_7_48,BADASP_Clade_1
tr|A0A840WPQ1|A0A840WPQ1_9RHOB_7_48,BADASP_Clade_1
tr|A0ABX8E9E7|A0ABX8E9E7_9SPHN_6_47,BADASP_Clade_1
tr|A0A7W6JVX6|A0A7W6JVX6_9SPHN_5_46,BADASP_Clade_1
tr|A0ABQ6P2T0|A0ABQ6P2T0_9SPHN_19_59,BADASP_Clade_1
tr|A0A1T5DIZ0|A0A1T5DIZ0_9SPHN_7_48,BADASP_Clade_1
tr|A0A2G9X307|A0A2G9X307_9HYPH_16_57,BADASP_Clade_1
tr|A0A068THP3|A0A068THP3_NEOGA_8_49,BADASP_Clade_1
tr|A0A252EJU5|A0A252EJU5_9PROT_6_47,BADASP_Clade_1
tr|A0A081KC08|A0A081KC08_9GAMM_6_47,BADASP_Clade_1
tr|A0A8J3FZY5|A0A8J3FZY5_9BURK_6_47,BADASP_Clade_1
tr|A0A7G8Q8R6|A0A7G8Q8R6_9GAMM_8_49,BADASP_Clade_1
tr|A0A9X2HKT8|A0A9X2HKT8_9SPHN_20_61,BADASP_Clade_1
tr|A0A1X6ZQW8|A0A1X6ZQW8_9RHOB_30_71,BADASP_Clade_1
tr|A0A844H7N3|A0A844H7N3_9RHOB_11_52,BADASP_Clade_1
tr|A0A1M7TXR3|A0A1M7TXR3_9RHOB_12_53,BADASP_Clade_1
tr|A0A238LI71|A0A238LI71_9RHOB_28_69,BADASP_Clade_1
tr|A0A1I4SKT8|A0A1I4SKT8_9RHOB_4_45,BADASP_Clade_1
tr|A0A840AYU1|A0A840AYU1_9HYPH_3_44,BADASP_Clade_1
tr|A0A6J6GPM4|A0A6J6GPM4_9ZZZZ_7_48,BADASP_Clade_1
tr|A0A1I7NFD2|A0A1I7NFD2_9HYPH_6_47,BADASP_Clade_1
tr|A0A2U3Q4X5|A0A2U3Q4X5_9BRAD_19_60,BADASP_Clade_1
tr|A0ABV6S4M8|A0ABV6S4M8_9SPHN_4_45,BADASP_Clade_1
tr|A0A1D8ADG1|A0A1D8ADG1_9SPHN_21_62,BADASP_Clade_1
tr|A0A917DWH5|A0A917DWH5_9SPHN_3_44,BADASP_Clade_1
tr|A0A420EC94|A0A420EC94_9SPHN_13_54,BADASP_Clade_1
tr|A0A0K6I1N7|A0A0K6I1N7_9HYPH_27_68,BADASP_Clade_1
tr|A0A545T5U3|A0A545T5U3_9GAMM_18_59,BADASP_Clade_1
tr|Q1YT12|Q1YT12_9GAMM_13_54,BADASP_Clade_1
tr|A0A1G6VD25|A0A1G6VD25_9PROT_5_46,BADASP_Clade_1
tr|A0A1C3RLL3|A0A1C3RLL3_9PROT_4_45,BADASP_Clade_1
tr|A0A1I7C416|A0A1I7C416_9RHOB_28_69,BADASP_Clade_1
tr|A0AAN1XYH2|A0AAN1XYH2_UNVUL_6_47,BADASP_Clade_1
tr|A0A1M7G879|A0A1M7G879_9RHOB_12_53,BADASP_Clade_1
tr|A0A3M3N9K6|A0A3M3N9K6_9PSED_18_59,BADASP_Clade_1
tr|A0AA37WGW7|A0AA37WGW7_9ALTE_14_55,BADASP_Clade_1
tr|A0A0D2JHQ2|A0A0D2JHQ2_9BACT_4_45,BADASP_Clade_1
tr|A0A506U649|A0A506U649_9HYPH_29_70,BADASP_Clade_1
tr|A0A3M0A1P9|A0A3M0A1P9_9GAMM_4_45,BADASP_Clade_1
tr|A0A233RFA7|A0A233RFA7_9GAMM_7_48,BADASP_Clade_1
tr|A0A2T7FYP7|A0A2T7FYP7_9RHOB_30_71,BADASP_Clade_1
