Sequence_ID,Functional_Clade_ID
sp|O33321|ALDR_MYCTU,BADASP_Clade_1
sp|Q980W9|LYSM_SACS2,BADASP_Clade_4
tr|A2BMF8|A2BMF8_HYPBU,BADASP_Clade_4
tr|A0A7J3ZL25|A0A7J3ZL25_9CREN,BADASP_Clade_4
tr|A0A1M6U047|A0A1M6U047_HALPU,BADASP_Clade_4
tr|R9T441|R9T441_METII,BADASP_Clade_4
tr|A0A2K5AS04|A0A2K5AS04_9ARCH,BADASP_Clade_4
tr|B3T3A7|B3T3A7_9ARCH,BADASP_Clade_4
tr|A0A7C5Q7N2|A0A7C5Q7N2_CALS0,BADASP_Clade_4
tr|A0A497EMR5|A0A497EMR5_9CREN,BADASP_Clade_4
tr|A0A7C2YRE9|A0A7C2YRE9_9CREN,BADASP_Clade_4
tr|A0AAF0D1A4|A0AAF0D1A4_ODILC,BADASP_Clade_4
tr|A0A150IQY3|A0A150IQY3_9EURY,BADASP_Clade_4
tr|A0A8J7YK49|A0A8J7YK49_9ARCH,BADASP_Clade_4
tr|A0A2D6LZS8|A0A2D6LZS8_9ARCH,BADASP_Clade_4
tr|A0A8T5GDK7|A0A8T5GDK7_9ARCH,BADASP_Clade_4
tr|B1L3H5|B1L3H5_KORCO,BADASP_Clade_4
tr|A0A075FSV4|A0A075FSV4_9EURY,BADASP_Clade_4
tr|A0A2A9DPP9|A0A2A9DPP9_9CORY,BADASP_Clade_4
tr|A0A7G5FE22|A0A7G5FE22_9CORY,BADASP_Clade_4
tr|A0A840NHJ8|A0A840NHJ8_9PSEU,BADASP_Clade_4
tr|A0ABV6REH7|A0ABV6REH7_9MICO,BADASP_Clade_4
tr|A0A133UY57|A0A133UY57_9EURY,BADASP_Clade_4
tr|A0A8J7YLK4|A0A8J7YLK4_9ARCH,BADASP_Clade_4
tr|A0A060HND0|A0A060HND0_9ARCH,BADASP_Clade_4
tr|A0A2K5ANK6|A0A2K5ANK6_9ARCH,BADASP_Clade_4
tr|K0IG29|K0IG29_NITGG,BADASP_Clade_4
tr|A0A075WAN8|A0A075WAN8_ARCFL,BADASP_Clade_4
tr|N0BME7|N0BME7_9EURY,BADASP_Clade_4
tr|A0A1F2P678|A0A1F2P678_9EURY,BADASP_Clade_4
tr|A0A4E0PXJ9|A0A4E0PXJ9_9EURY,BADASP_Clade_4
tr|A0AAP2RBH6|A0AAP2RBH6_9EURY,BADASP_Clade_4
tr|A0A9E7PNE6|A0A9E7PNE6_9EURY,BADASP_Clade_4
tr|A0AAP2W5X6|A0AAP2W5X6_9EURY,BADASP_Clade_4
tr|A0A0W8F9G4|A0A0W8F9G4_9ZZZZ,BADASP_Clade_4
tr|A0A2A2H146|A0A2A2H146_METBR,BADASP_Clade_4
tr|A0A150J8U9|A0A150J8U9_9EURY,BADASP_Clade_4
tr|A0A2R6ABQ0|A0A2R6ABQ0_9ARCH,BADASP_Clade_4
tr|A0A0F9EV32|A0A0F9EV32_9ZZZZ,BADASP_Clade_4
tr|A0ABY6HP26|A0ABY6HP26_9ARCH,BADASP_Clade_4
tr|A0A0F9UU80|A0A0F9UU80_9ZZZZ,BADASP_Clade_4
tr|A0A2R6AIT5|A0A2R6AIT5_9ARCH,BADASP_Clade_4
tr|A0A2R6AU33|A0A2R6AU33_9ARCH,BADASP_Clade_4
tr|A0A6A9QIA7|A0A6A9QIA7_ACIIN,BADASP_Clade_4
tr|Q97BS4|Q97BS4_THEVO,BADASP_Clade_4
tr|A0A1N5TQF9|A0A1N5TQF9_9ARCH,BADASP_Clade_4
tr|A0A5E4LM64|A0A5E4LM64_9ARCH,BADASP_Clade_4
tr|A0A133VA83|A0A133VA83_9EURY,BADASP_Clade_4
tr|A0A3S3RCE9|A0A3S3RCE9_METS7,BADASP_Clade_4
tr|A0A7C4E1U4|A0A7C4E1U4_CALS0,BADASP_Clade_4
tr|N0BN35|N0BN35_9EURY,BADASP_Clade_4
tr|A0A081RP86|A0A081RP86_9ARCH,BADASP_Clade_4
tr|A0A382FDH3|A0A382FDH3_9ZZZZ,BADASP_Clade_4
tr|A0A2R7Y5I2|A0A2R7Y5I2_9CREN,BADASP_Clade_4
tr|C5A5I2|C5A5I2_THEGJ,BADASP_Clade_4
tr|C6A347|C6A347_THESM,BADASP_Clade_4
tr|A0A0F7FJ09|A0A0F7FJ09_9CREN,BADASP_Clade_4
tr|A0A2R7Y0X3|A0A2R7Y0X3_9ARCH,BADASP_Clade_4
tr|A0A520KGV6|A0A520KGV6_9CREN,BADASP_Clade_4
tr|A0A1W6JY41|A0A1W6JY41_9CREN,BADASP_Clade_5
tr|A0A2R6AWQ7|A0A2R6AWQ7_9ARCH,BADASP_Clade_5
tr|A0A0J7IYX5|A0A0J7IYX5_9FLAO,BADASP_Clade_4
tr|A0A4R2ETG6|A0A4R2ETG6_9BACT,BADASP_Clade_4
tr|A0A562KME5|A0A562KME5_9FLAO,BADASP_Clade_4
