sequence_id,group_id,group_lca_node,family_id,family_lca_node,subfamily_id,subfamily_lca_node
sp|F8DT92|GRP_ZYMMA,7,InternalNode_2573,35,InternalNode_4683,157,InternalNode_4684
sp|O57818|REG1_PYRHO,1,InternalNode_6,12,InternalNode_632,35,InternalNode_741
sp|O57880|REG3_PYRHO,1,InternalNode_6,13,InternalNode_788,52,InternalNode_1117
sp|O58782|REG5_PYRHO,1,InternalNode_6,11,InternalNode_506,28,InternalNode_536
sp|P42180|REG7_PYRFU,1,InternalNode_6,14,InternalNode_1427,65,InternalNode_1522
sp|P44580|Y224_HAEIN,7,InternalNode_2573,35,InternalNode_4683,170,InternalNode_5237
sp|P95412|NIRD_PSEAE,1,InternalNode_6,13,InternalNode_788,58,InternalNode_1197
sp|P96653|LRPB_BACSU,4,InternalNode_1644,21,InternalNode_1644,76,InternalNode_1719
tr|A0A011AKR7|A0A011AKR7_9ACTN,7,InternalNode_2573,27,InternalNode_2672,109,InternalNode_2944
tr|A0A011MHZ1|A0A011MHZ1_9PROT,4,InternalNode_1644,21,InternalNode_1644,90,InternalNode_2167
tr|A0A011PZC8|A0A011PZC8_9PROT,7,InternalNode_2573,33,InternalNode_3801,151,InternalNode_4206
tr|A0A011UXF6|A0A011UXF6_RUMAL,1,InternalNode_6,10,InternalNode_274,24,InternalNode_333
tr|A0A017H7Z4|A0A017H7Z4_9RHOB,7,InternalNode_2573,34,InternalNode_4296,153,InternalNode_4297
tr|A0A017HIA2|A0A017HIA2_9RHOB,7,InternalNode_2573,29,InternalNode_3031,114,InternalNode_3151
tr|A0A017RUF8|A0A017RUF8_9CLOT,5,InternalNode_2267,22,InternalNode_2267,97,InternalNode_2294
tr|A0A023C1G9|A0A023C1G9_9FLAO,4,InternalNode_1644,21,InternalNode_1644,91,InternalNode_2180
tr|A0A023E092|A0A023E092_9PROT,5,InternalNode_2267,22,InternalNode_2267,100,InternalNode_2519
tr|A0A023WPA0|A0A023WPA0_STUST,1,InternalNode_6,13,InternalNode_788,58,InternalNode_1197
tr|A0A024H4V5|A0A024H4V5_9MICC,7,InternalNode_2573,27,InternalNode_2672,105,InternalNode_2674
tr|A0A031JC83|A0A031JC83_9SPHN,7,InternalNode_2573,29,InternalNode_3031,113,InternalNode_3073
tr|A0A031K1I4|A0A031K1I4_9SPHN,7,InternalNode_2573,35,InternalNode_4683,166,InternalNode_4995
tr|A0A037ZI82|A0A037ZI82_9RHOB,7,InternalNode_2573,33,InternalNode_3801,151,InternalNode_4206
tr|A0A037ZKM1|A0A037ZKM1_9RHOB,7,InternalNode_2573,33,InternalNode_3801,148,InternalNode_4052
tr|A0A037ZKY1|A0A037ZKY1_9RHOB,7,InternalNode_2573,34,InternalNode_4296,153,InternalNode_4297
tr|A0A059F6Y7|A0A059F6Y7_9PROT,7,InternalNode_2573,35,InternalNode_4683,167,InternalNode_5207
tr|A0A059FGJ0|A0A059FGJ0_9PROT,7,InternalNode_2573,29,InternalNode_3031,113,InternalNode_3073
